value,occ_title,class
4200,first-line supervisors of housekeeping and janitorial workers,Middle Income
4210,"first-line supervisors of landscaping, lawn service, and groundskeeping workers",Middle Income
4220,janitors and building cleaners,Low Income
4230,maids and housekeeping cleaners,Low Income
4240,pest control workers,Middle Income
4250,grounds maintenance workers,Low Income
4300,first-line supervisors of gaming workers,Middle Income
4320,first-line supervisors of personal service workers,Middle Income
4340,animal trainers,Middle Income
4350,nonfarm animal caretakers,Low Income
4400,gaming services workers,Low Income
4410,motion picture projectionists,Low Income
4420,"ushers, lobby attendants, and ticket takers",Low Income
4430,miscellaneous entertainment attendants and related workers,Low Income
4460,embalmers and funeral attendants,Middle Income
4465,"morticians, undertakers, and funeral directors",Middle Income
4500,barbers,Low Income
4510,"hairdressers, hairstylists, and cosmetologists",Low Income
4520,miscellaneous personal appearance workers,Low Income
4530,"baggage porters, bellhops, and concierges",Low Income
4540,tour and travel guides,Low Income
4600,childcare workers,Low Income
4610,personal care aides,Low Income
4620,recreation and fitness workers,Middle Income
4640,residential advisors,Low Income
4650,"personal care and service workers, all other",Low Income
4700,first-line supervisors of retail sales workers,Middle Income
4710,first-line supervisors of non-retail sales workers,Middle Income
4720,cashiers,Low Income
4740,counter and rental clerks,Low Income
4750,parts salespersons,Low Income
4760,retail salespersons,Low Income
4800,advertising sales agents,Middle Income
4810,insurance sales agents,Middle Income
4820,"securities, commodities, and financial services sales agents",Middle Income
4830,travel agents,Middle Income
4840,"sales representatives, services, all other",Middle Income
4850,"sales representatives, wholesale and manufacturing",Middle Income
4900,"models, demonstrators, and product promoters",Low Income
4920,real estate brokers and sales agents,Middle Income
4930,sales engineers,High Income
4940,telemarketers,Low Income
4950,"door-to-door sales workers, news and street vendors, and related workers",Low Income
4965,"sales and related workers, all other",Middle Income
5000,first-line supervisors of office and administrative support workers,Middle Income
5010,"switchboard operators, including answering service",Low Income
5020,telephone operators,Middle Income
5030,"communications equipment operators, all other",Middle Income
5100,bill and account collectors,Middle Income
5110,billing and posting clerks,Middle Income
5120,"bookkeeping, accounting, and auditing clerks",Middle Income
5130,gaming cage workers,Low Income
5140,payroll and timekeeping clerks,Middle Income
5150,procurement clerks,Middle Income
5160,tellers,Low Income
5165,"financial clerks, all other",Middle Income
5200,brokerage clerks,Middle Income
5220,"court, municipal, and license clerks",Middle Income
5230,"credit authorizers, checkers, and clerks",Middle Income
5240,customer service representatives,Middle Income
5250,"eligibility interviewers, government programs",Middle Income
5260,file clerks,Low Income
5300,"hotel, motel, and resort desk clerks",Low Income
5310,"interviewers, except eligibility and loan",Middle Income
5320,"library assistants, clerical",Low Income
5330,loan interviewers and clerks,Middle Income
5340,new accounts clerks,Middle Income
5350,correspondence clerks and order clerks,Middle Income
5360,"human resources assistants, except payroll and timekeeping",Middle Income
5400,receptionists and information clerks,Low Income
5410,reservation and transportation ticket agents and travel clerks,Middle Income
5420,"information and record clerks, all other",Middle Income
5500,cargo and freight agents,Middle Income
5510,couriers and messengers,Low Income
5520,dispatchers,Middle Income
5530,"meter readers, utilities",Middle Income
5540,postal service clerks,Middle Income
5550,postal service mail carriers,Middle Income
5560,"postal service mail sorters, processors, and processing machine operators",Middle Income
5600,"production, planning, and expediting clerks",Middle Income
5610,"shipping, receiving, and traffic clerks",Middle Income
5620,stock clerks and order fillers,Low Income
5630,"weighers, measurers, checkers, and samplers, recordkeeping",Low Income
5700,secretaries and administrative assistants,Middle Income
5800,computer operators,Middle Income
5810,data entry keyers,Low Income
5820,word processors and typists,Middle Income
5840,insurance claims and policy processing clerks,Middle Income
5850,"mail clerks and mail machine operators, except postal service",Low Income
5860,"office clerks, general",Middle Income
5900,"office machine operators, except computer",Low Income
5910,proofreaders and copy markers,Middle Income
5920,statistical assistants,Middle Income
5940,"miscellaneous office and administrative support workers, including desktop publishers",Middle Income
6005,"first-line supervisors of farming, fishing, and forestry workers",Middle Income
6010,agricultural inspectors,Middle Income
6040,"graders and sorters, agricultural products",Low Income
6050,"miscellaneous agricultural workers, including animal breeders",Middle Income
6100,fishing and hunting workers,Low Income
6120,forest and conservation workers,Low Income
