Race,Working Hours,Education,Marital Status,Occupation,Industry,IsBusinessOwner,livesInCity,Medical Condition,Age,Job Begin Year,Sex
1,50,44,1,940,7280,2,1,0,53,2003,1
1,50,39,2,910,6890,1,1,0,51,2014,1
1,10,44,1,2700,7390,2,1,0,51,2006,2
1,60,44,1,230,9890,1,1,0,54,2006,1
1,6,42,6,5260,7870,1,1,0,23,2013,2
1,6,42,6,5260,7870,1,1,0,22,2013,2
1,30,40,4,5700,4690,1,2,0,37,2014,2
1,40,46,3,2200,7870,1,1,0,87,1980,2
1,38,36,4,4720,5070,1,1,0,38,2013,2
1,15,43,1,5310,9570,1,1,0,52,2011,2
1,40,40,1,8030,2880,1,1,0,52,2007,1
1,40,41,1,5700,7860,1,1,0,53,2014,2
1,40,44,2,1320,6070,1,1,0,67,2013,1
1,40,43,4,5240,6070,1,1,0,51,2000,2
1,50,40,4,9120,6180,1,1,10,48,2011,1
3,3,43,1,4710,4380,2,1,0,65,2013,1
3,40,43,1,430,590,1,1,0,59,2008,2
1,40,32,4,6260,770,1,1,0,53,2007,1
4,40,43,1,136,8190,1,2,0,51,2014,2
4,45,39,1,6200,770,1,2,0,50,2013,1
1,38,39,1,8740,2370,1,2,0,57,2010,2
1,25,39,3,9120,7860,1,2,0,74,2004,1
1,40,39,6,5240,7590,1,1,0,19,2014,2
1,40,39,1,6260,770,1,1,19,62,1990,1
4,48,36,4,4610,8170,1,2,0,38,2012,2
4,42,39,1,4720,5380,1,2,0,31,2014,2
4,62,41,1,6820,490,1,2,0,31,2010,1
1,20,43,1,5120,170,1,2,0,36,2013,2
1,69,43,1,205,180,2,2,0,39,1997,1
1,50,41,1,7330,1180,1,2,0,64,2007,1
1,60,43,1,2310,7860,1,2,0,61,2002,2
1,25,42,1,5700,7990,1,1,0,40,2007,2
1,45,45,1,3000,7990,2,1,0,45,2004,1
1,15,39,6,7630,7070,2,1,0,48,2013,1
1,17,42,6,9120,7860,1,2,0,26,2013,2
4,40,40,6,4020,8680,1,2,3,29,2004,1
1,10,41,6,1760,7870,1,1,0,20,2013,1
1,6,40,6,5260,7870,1,1,0,22,2013,2
1,50,39,1,430,7290,1,2,0,52,2010,1
1,40,39,1,5120,3960,2,2,0,25,2010,2
1,50,43,1,8760,7980,2,2,0,28,2010,1
1,30,40,4,4760,4970,1,2,0,49,2004,2
1,45,39,1,7750,3070,1,2,10,30,2011,1
1,40,39,1,4220,7860,1,2,19,30,2013,2
1,40,39,1,5700,9470,1,2,0,54,2009,2
1,38,41,1,7810,1180,1,2,0,38,2010,1
1,10,42,1,6260,770,2,2,0,68,2011,1
1,40,42,6,7630,570,1,2,0,25,2011,1
1,40,41,6,5310,8190,1,2,0,32,2013,2
1,40,40,1,850,6870,1,2,0,52,1994,2
1,30,41,6,4010,8680,1,2,0,21,2012,2
1,6,40,6,4010,8680,1,2,0,22,2012,2
1,50,39,4,6230,770,2,2,0,49,2000,1
1,10,41,6,5410,6070,1,2,30,48,2014,2
1,40,41,6,726,7590,1,2,0,22,2014,2
1,40,43,6,4010,8690,2,2,0,39,2010,1
4,30,39,1,5160,6870,1,2,0,23,2014,2
1,40,43,1,430,7290,1,2,0,24,2013,1
1,40,43,1,50,8170,1,2,0,49,2014,2
1,10,36,6,4760,5170,1,2,0,17,2014,2
1,35,39,1,8740,770,1,1,0,51,2013,1
1,40,39,1,2200,7880,1,1,0,51,2013,2
1,37,44,1,2320,7860,1,1,0,52,1987,2
1,55,40,1,5000,6370,1,1,0,56,2007,1
1,40,39,1,3640,7980,1,1,0,60,2013,2
1,40,42,3,4220,2590,1,2,0,53,2004,2
1,55,39,4,4600,8470,2,1,0,47,1987,2
1,24,43,3,2010,8370,1,1,0,70,1993,2
1,40,44,1,50,8370,1,1,0,44,2013,2
1,40,43,1,430,7380,1,1,0,45,2010,1
4,15,41,6,4720,5370,1,1,0,21,2012,2
1,2,45,1,2100,7270,2,1,0,59,2011,2
1,55,44,1,430,7290,1,1,0,58,2009,1
1,40,39,1,810,7490,2,1,0,36,2006,1
1,40,43,1,800,7270,1,1,0,40,2013,2
1,45,41,1,50,4795,1,1,0,40,2008,1
1,9,39,1,2750,8560,2,1,0,68,2013,1
1,40,40,1,6660,9570,1,1,0,64,2002,1
1,55,46,1,2200,7870,1,1,0,43,2013,1
