,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
0,00-0000,all occupations,total,"142,549,250",0.1,24.34,"50,620",0.1,9.6,11.91,18.12,29.38,46.23,"19,970","24,770","37,690","61,110","96,150",,
1,11-0000,management occupations,major,"7,280,330",0.2,57.65,"119,910",0.1,23.19,33.6,49.32,71.83,#,"48,220","69,880","102,590","149,410",#,,
2,11-1000,top executives,minor,"2,473,740",0.3,61.55,"128,020",0.2,20.74,31.74,49.58,78.72,#,"43,140","66,030","103,120","163,740",#,,
3,11-1010,chief executives,broad,"210,160",0.7,94.25,"196,050",0.4,32.74,54.55,88.11,#,#,"68,110","113,470","183,270",#,#,,
5,11-1020,general and operations managers,broad,"2,212,200",0.3,59.35,"123,460",0.2,21.4,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#,,
7,11-1030,legislators,broad,"51,380",1.3,*,"46,350",1,*,*,*,*,*,"17,480","18,860","25,630","70,130","97,510",TRUE,
9,11-2000,"advertising, marketing, promotions, public relations, and sales managers",minor,"685,780",0.5,66.66,"138,650",0.3,29.1,41.13,59.19,82.51,#,"60,530","85,560","123,100","171,630",#,,
10,11-2010,advertising and promotions managers,broad,"28,100",2.6,59.56,"123,880",1.5,23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#,,
12,11-2020,marketing and sales managers,broad,"590,380",0.5,67.6,"140,600",0.3,29.45,41.73,60.24,83.93,#,"61,250","86,810","125,290","174,570",#,,
13,11-2021,marketing managers,detailed,"218,970",0.8,70.01,"145,620",0.4,32.93,45.25,63.57,86.57,#,"68,490","94,110","132,230","180,070",#,,
14,11-2022,sales managers,detailed,"371,410",0.6,66.18,"137,650",0.3,27.69,39.66,58.2,82.11,#,"57,590","82,490","121,060","170,790",#,,
15,11-2030,public relations and fundraising managers,broad,"67,300",1.1,61.39,"127,690",0.6,29.39,39.19,53.5,74.92,#,"61,130","81,510","111,280","155,830",#,,
17,11-3000,operations specialties managers,minor,"1,752,130",0.3,62.24,"129,450",0.2,30.6,40.62,55.62,75.56,#,"63,660","84,490","115,700","157,160",#,,
18,11-3010,administrative services managers,broad,"270,100",0.6,49.7,"103,380",0.3,25.36,33.46,45.2,60.25,78.6,"52,750","69,590","94,020","125,310","163,480",,
20,11-3020,computer and information systems managers,broad,"365,690",0.8,71.99,"149,730",0.4,40.32,51.8,66.93,84.56,#,"83,860","107,740","139,220","175,890",#,,
22,11-3030,financial managers,broad,"569,380",0.6,69.01,"143,530",0.3,31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#,,
24,11-3050,industrial production managers,broad,"171,520",0.6,53.16,"110,580",0.3,29.5,37.48,48.36,62.89,81.15,"61,360","77,970","100,580","130,820","168,780",,
26,11-3060,purchasing managers,broad,"70,430",0.8,58.56,"121,810",0.4,32.04,41.67,55.65,70.57,87.87,"66,630","86,670","115,760","146,780","182,780",,
28,11-3070,"transportation, storage, and distribution managers",broad,"118,680",1.1,48.43,"100,740",0.4,26.1,33.84,44.45,58.21,75.34,"54,300","70,380","92,460","121,080","156,710",,
30,11-3110,compensation and benefits managers,broad,"15,520",1.6,62.5,"130,010",0.7,32.94,43.15,57.27,76.03,97.4,"68,510","89,750","119,120","158,130","202,590",,
32,11-3120,human resources managers,broad,"136,310",0.6,59.38,"123,510",0.3,31.27,40.02,52.94,71.79,95.06,"65,040","83,230","110,120","149,330","197,720",,
34,11-3130,training and development managers,broad,"34,500",1.4,56.58,"117,690",0.5,28.45,38.34,52.05,69.19,90.22,"59,170","79,740","108,250","143,920","187,670",,
36,11-9000,other management occupations,minor,"2,368,680",0.3,47.57,"98,940",0.2,20.7,29.47,42.65,59.53,78.57,"43,060","61,290","88,720","123,820","163,430",,
37,11-9010,"farmers, ranchers, and other agricultural managers",broad,"4,610",6,38.62,"80,320",2.6,17,23.38,33.47,47.69,65.34,"35,360","48,620","69,620","99,200","135,900",,
39,11-9020,construction managers,broad,"263,480",0.9,48.56,"101,000",0.4,26.35,33.4,43.93,58.45,76.71,"54,810","69,470","91,370","121,570","159,560",,
41,11-9030,education administrators,broad,"477,750",0.6,45.8,"95,270",0.5,22.93,31.87,42.74,56.01,71.72,"47,690","66,300","88,890","116,490","149,180",,
42,11-9031,"education administrators, preschool and childcare center/program",detailed,"49,130",1.7,25.74,"53,550",0.9,14.41,17.59,22.54,29.98,40.98,"29,980","36,580","46,890","62,360","85,240",,
43,11-9032,"education administrators, elementary and secondary school",detailed,"250,280",0.7,*,"97,440",0.6,*,*,*,*,*,"60,760","75,010","94,390","117,720","140,780",TRUE,
44,11-9033,"education administrators, postsecondary",detailed,"142,160",1.2,51.77,"107,670",0.6,25.46,32.74,44.41,61.77,87.57,"52,960","68,090","92,360","128,480","182,150",,
45,11-9039,"education administrators, all other",detailed,"36,190",1.6,42.42,"88,240",0.8,20.99,28.42,39.25,52.27,66.42,"43,660","59,120","81,630","108,720","138,160",,
46,11-9040,architectural and engineering managers,broad,"179,990",1,70.33,"146,290",0.4,42.33,53.04,66.21,81.55,#,"88,050","110,330","137,720","169,620",#,,
48,11-9050,food service managers,broad,"208,110",1.6,27.52,"57,250",0.6,14.35,18.64,25.02,33.04,43.41,"29,850","38,770","52,030","68,720","90,290",,
50,11-9060,funeral service managers,broad,"8,350",4,44.76,"93,090",2.8,19.2,27.7,37.52,53.54,73.72,"39,940","57,610","78,040","111,370","153,340",,
52,11-9070,gaming managers,broad,"4,420",3.3,40.12,"83,460",1.1,22.13,27.42,35.06,45.9,62.27,"46,040","57,040","72,930","95,480","129,520",,
54,11-9080,lodging managers,broad,"36,610",2.4,28.67,"59,620",1,13.91,18.03,24.9,34.3,47.29,"28,930","37,500","51,800","71,340","98,370",,
56,11-9110,medical and health services managers,broad,"346,980",0.5,53.69,"111,680",0.4,28.05,36.22,47.29,62,84.68,"58,350","75,340","98,350","128,960","176,130",,
58,11-9120,natural sciences managers,broad,"56,210",2.2,64.26,"133,670",1.1,29.84,42.75,57.2,76.8,#,"62,080","88,920","118,970","159,750",#,,
60,11-9130,postmasters and mail superintendents,broad,"13,960",0,36.38,"75,660",0.1,30.2,31.98,35.98,40.21,44.39,"62,810","66,510","74,840","83,630","92,340",,
62,11-9140,"property, real estate, and community association managers",broad,"186,720",1.2,34.79,"72,370",0.8,14.18,19.89,28.21,41.3,61.84,"29,500","41,370","58,670","85,900","128,630",,
64,11-9150,social and community service managers,broad,"141,830",1.4,33.91,"70,530",0.6,19.1,23.94,30.82,40.63,52.88,"39,730","49,800","64,100","84,500","109,990",,
66,11-9160,emergency management directors,broad,"9,560",1.6,39.01,"81,140",1.2,18.4,24.76,34.98,49.68,68.09,"38,270","51,510","72,760","103,340","141,620",,
68,11-9190,miscellaneous managers,broad,"430,120",0.6,54.41,"113,180",0.3,24.89,35.85,50.77,67.06,85,"51,770","74,570","105,610","139,480","176,800",,
69,11-9199,"managers, all other",detailed,"430,120",0.6,54.41,"113,180",0.3,24.89,35.85,50.77,67.06,85,"51,770","74,570","105,610","139,480","176,800",,
70,13-0000,business and financial operations occupations,major,"7,472,750",0.2,36.7,"76,330",0.2,18.12,24.25,32.55,44.22,59.13,"37,690","50,450","67,710","91,970","123,000",,
71,13-1000,business operations specialists,minor,"4,811,530",0.3,35.14,"73,080",0.2,17.69,23.72,31.92,43.03,56.23,"36,800","49,330","66,390","89,510","116,960",,
72,13-1010,"agents and business managers of artists, performers, and athletes",broad,"15,450",4.1,43.69,"90,870",3.9,14.91,21.09,31.22,50,96.3,"31,020","43,870","64,940","104,010","200,310",,
74,13-1020,buyers and purchasing agents,detailed,"413,540",0.6,32.19,"66,960",0.3,17.49,22.63,29.87,39.34,49.75,"36,370","47,070","62,120","81,830","103,480",,
76,13-1030,"claims adjusters, appraisers, examiners, and investigators",broad,"298,170",1.3,31.85,"66,250",0.6,18.84,23.65,31.1,38.39,46.57,"39,180","49,190","64,690","79,850","96,880",,
77,13-1031,"claims adjusters, examiners, and investigators",detailed,"282,030",1.3,31.89,"66,340",0.6,18.72,23.58,31.2,38.47,46.67,"38,930","49,040","64,900","80,010","97,080",,
78,13-1032,"insurance appraisers, auto damage",detailed,"16,150",4.5,31.1,"64,680",1,20.44,24.66,29.86,37.07,44.96,"42,520","51,280","62,100","77,110","93,510",,
79,13-1040,compliance officers,broad,"287,130",0.7,34.39,"71,540",0.4,18.35,24.18,32.63,42.89,51.45,"38,170","50,290","67,870","89,210","107,010",,
81,13-1050,cost estimators,broad,"210,900",0.8,32.9,"68,420",0.3,17.79,23.42,30.34,39.58,50.97,"37,000","48,710","63,110","82,330","106,010",,
83,13-1070,human resources workers,broad,"633,250",0.5,31.79,"66,120",0.3,16.4,21.8,29.12,38.79,50.34,"34,110","45,340","60,570","80,690","104,720",,
84,13-1071,human resources specialists,detailed,"553,950",0.5,31.84,"66,220",0.2,17.22,22.07,29.01,38.39,49.8,"35,810","45,900","60,350","79,860","103,570",,
85,13-1074,farm labor contractors,detailed,780,31.3,23.5,"48,890",11.3,8.96,10.26,17.15,30.6,46.02,"18,650","21,330","35,660","63,650","95,720",,
86,13-1075,labor relations specialists,detailed,"78,510",1.7,31.51,"65,540",1.5,9.05,16.88,30.38,42.44,56,"18,820","35,120","63,200","88,270","116,480",,
87,13-1080,logisticians,broad,"159,800",1,37.86,"78,740",0.4,21.55,27.64,35.86,46.3,57.75,"44,820","57,490","74,590","96,310","120,120",,
89,13-1110,management analysts,broad,"659,200",0.8,44.92,"93,440",0.4,22.66,29.62,39.64,53.17,73.18,"47,140","61,610","82,450","110,600","152,210",,
91,13-1120,"meeting, convention, and event planners",broad,"102,420",1.5,25.3,"52,630",0.8,12.69,17.15,23.22,30.67,39.89,"26,390","35,680","48,290","63,800","82,980",,
93,13-1130,fundraisers,broad,"72,920",1.4,28.81,"59,930",0.8,15.92,20.43,26.75,35.26,45.33,"33,120","42,500","55,640","73,350","94,280",,
95,13-1140,"compensation, benefits, and job analysis specialists",broad,"80,530",1.1,32.29,"67,160",0.4,18.68,23.31,30.14,38.5,48.94,"38,860","48,490","62,680","80,070","101,800",,
97,13-1150,training and development specialists,broad,"280,340",0.8,31.11,"64,700",0.3,15.94,21.22,29.02,38.65,49.2,"33,150","44,140","60,360","80,390","102,340",,
99,13-1160,market research analysts and marketing specialists,broad,"596,450",0.8,34.35,"71,450",0.4,16.59,22.34,30.4,42.89,59.03,"34,510","46,460","63,230","89,200","122,770",,
101,13-1190,miscellaneous business operations specialists,broad,"1,001,420",0.5,36.42,"75,740",0.2,18.29,24.93,33.66,44.9,57.92,"38,050","51,860","70,010","93,380","120,460",,
102,13-1199,"business operations specialists, all other",detailed,"1,001,420",0.5,36.42,"75,740",0.2,18.29,24.93,33.66,44.9,57.92,"38,050","51,860","70,010","93,380","120,460",,
103,13-2000,financial specialists,minor,"2,661,230",0.4,39.51,"82,190",0.3,19.08,25.27,33.71,46.38,64.46,"39,690","52,560","70,120","96,470","134,070",,
104,13-2010,accountants and auditors,broad,"1,241,000",0.7,37.46,"77,920",0.4,20.68,26.08,33.34,44.12,58.76,"43,020","54,250","69,350","91,770","122,220",,
106,13-2020,appraisers and assessors of real estate,broad,"58,880",2.4,29.25,"60,830",1.2,13.67,18.89,25.97,36.65,48.9,"28,440","39,280","54,010","76,240","101,710",,
108,13-2030,budget analysts,broad,"54,550",1,37.83,"78,680",0.6,23.82,28.93,36.17,45.56,54.68,"49,540","60,170","75,240","94,770","113,740",,
110,13-2040,credit analysts,broad,"74,850",1.7,39.86,"82,900",0.9,20.2,25.76,34.27,47.62,67.73,"42,010","53,590","71,290","99,040","140,880",,
112,13-2050,financial analysts and advisors,broad,"584,940",0.9,50.27,"104,570",0.7,21.94,28.85,39.79,58.54,95.25,"45,630","60,010","82,770","121,770","198,120",,
113,13-2051,financial analysts,detailed,"294,110",1.3,47.8,"99,430",0.9,24.89,30.96,40.53,55.28,79.6,"51,780","64,390","84,300","114,980","165,580",,
114,13-2052,personal financial advisors,detailed,"200,920",1.4,59.68,"124,140",1,19.62,27.59,43.58,78.21,#,"40,800","57,380","90,640","162,680",#,,
115,13-2053,insurance underwriters,detailed,"89,910",2.3,37.34,"77,660",0.8,20.09,25.42,33.54,45.24,59.45,"41,800","52,880","69,760","94,100","123,660",,
116,13-2060,financial examiners,broad,"52,580",1.8,44.12,"91,780",0.7,22.79,29.37,39.28,54.47,73.97,"47,400","61,090","81,690","113,300","153,850",,
118,13-2070,credit counselors and loan officers,broad,"343,150",1,36.03,"74,940",0.6,15.44,21,29.73,43.5,62.87,"32,120","43,680","61,840","90,480","130,770",,
119,13-2071,credit counselors,detailed,"35,900",3.4,23.78,"49,460",1.2,14.32,17.15,21.5,27.52,36.63,"29,780","35,670","44,710","57,240","76,190",,
120,13-2072,loan officers,detailed,"307,240",1.1,37.46,"77,920",0.6,15.71,21.95,31.09,45.27,65.19,"32,670","45,660","64,660","94,150","135,590",,
121,13-2080,"tax examiners, collectors and preparers, and revenue agents",broad,"125,380",1.6,25.26,"52,530",0.9,10.9,15.22,22.52,31.81,44.38,"22,670","31,650","46,840","66,170","92,310",,
122,13-2081,"tax examiners and collectors, and revenue agents",detailed,"56,660",0.3,28.43,"59,140",0.3,15.26,19.56,25.54,35.41,48.07,"31,730","40,680","53,130","73,650","99,990",,
123,13-2082,tax preparers,detailed,"68,720",3,22.64,"47,090",1.7,9.7,12.4,18.62,28.88,39.3,"20,170","25,800","38,730","60,080","81,740",,
124,13-2090,miscellaneous financial specialists,broad,"125,900",1.1,36.84,"76,630",0.6,18.43,24.61,33.42,44.83,57.96,"38,340","51,190","69,520","93,240","120,550",,
125,13-2099,"financial specialists, all other",detailed,"125,900",1.1,36.84,"76,630",0.6,18.43,24.61,33.42,44.83,57.96,"38,340","51,190","69,520","93,240","120,550",,
126,15-0000,computer and mathematical occupations,major,"4,261,460",0.5,43.18,"89,810",0.4,20.95,29.02,40.66,54.87,69.63,"43,580","60,360","84,560","114,130","144,830",,
127,15-1100,computer occupations,minor,"4,094,930",0.5,43.16,"89,780",0.4,20.88,28.98,40.67,54.91,69.66,"43,440","60,270","84,580","114,210","144,890",,
128,15-1110,computer and information research scientists,broad,"27,920",3.4,57.49,"119,570",1.4,31.51,42.67,55.06,70.02,84.99,"65,540","88,760","114,520","145,630","176,780",,
130,15-1120,computer and information analysts,broad,"687,210",0.9,45.1,"93,800",0.3,25.95,33.06,42.92,55.03,68.59,"53,980","68,770","89,280","114,470","142,670",,
131,15-1121,computer systems analysts,detailed,"581,960",1,44.59,"92,740",0.3,25.84,32.82,42.44,54.11,67.24,"53,750","68,260","88,270","112,540","139,850",,
132,15-1122,information security analysts,detailed,"105,250",2.2,47.93,"99,690",0.6,26.71,34.68,45.92,59.22,73.6,"55,560","72,130","95,510","123,180","153,090",,
133,15-1130,software developers and programmers,broad,"1,617,400",1,49.27,"102,470",0.6,26.4,35.21,47,60.73,75.8,"54,920","73,250","97,770","126,330","157,660",,
134,15-1131,computer programmers,detailed,"247,690",1.9,42.08,"87,530",1,22.64,30.22,39.54,51.24,63.72,"47,090","62,860","82,240","106,580","132,530",,
135,15-1132,"software developers, applications",detailed,"849,230",1.3,51.3,"106,710",0.9,28.79,37.36,48.94,62,76.97,"59,870","77,710","101,790","128,960","160,100",,
136,15-1133,"software developers, systems software",detailed,"394,590",1.3,53.74,"111,780",0.4,31.57,40.53,51.73,65.26,78.92,"65,670","84,290","107,600","135,740","164,150",,
137,15-1134,web developers,detailed,"125,890",1.3,35.63,"74,110",0.6,17.71,23.74,32.69,45.03,58.81,"36,830","49,380","67,990","93,670","122,320",,
138,15-1140,database and systems administrators and network architects,broad,"646,570",0.7,44.26,"92,070",0.2,24.63,31.65,41.87,55.11,68.5,"51,230","65,830","87,090","114,620","142,480",,
139,15-1141,database administrators,detailed,"113,690",1.1,42.81,"89,050",0.3,23.31,30.7,41.84,54.18,63.66,"48,480","63,850","87,020","112,700","132,420",,
140,15-1142,network and computer systems administrators,detailed,"375,040",0.8,41.51,"86,340",0.3,23.96,30.3,38.99,50.22,62.6,"49,830","63,020","81,100","104,460","130,200",,
141,15-1143,computer network architects,detailed,"157,830",1.6,51.86,"107,870",0.5,27.96,37.53,50.31,63.68,78.07,"58,160","78,070","104,650","132,460","162,390",,
142,15-1150,computer support specialists,broad,"800,010",0.7,27.53,"57,260",0.3,15.3,19.4,25.39,33.43,43.85,"31,820","40,350","52,810","69,530","91,220",,
143,15-1151,computer user support specialists,detailed,"613,780",0.7,26.03,"54,150",0.4,14.69,18.6,24.14,31.05,39.86,"30,550","38,690","50,210","64,590","82,900",,
144,15-1152,computer network support specialists,detailed,"186,230",1.2,32.46,"67,510",0.4,17.77,22.85,29.97,39.42,50.59,"36,960","47,530","62,340","82,000","105,230",,
145,15-1190,miscellaneous computer occupations,broad,"315,830",0.9,43.79,"91,080",0.4,22.23,31.4,42.56,54.89,67.02,"46,240","65,320","88,510","114,180","139,390",,
146,15-1199,"computer occupations, all other",detailed,"315,830",0.9,43.79,"91,080",0.4,22.23,31.4,42.56,54.89,67.02,"46,240","65,320","88,510","114,180","139,390",,
147,15-2000,mathematical science occupations,minor,"166,530",1.6,43.49,"90,460",0.4,22.75,29.9,40.41,53.85,68.82,"47,330","62,190","84,060","112,010","143,140",,
148,15-2010,actuaries,broad,"19,210",3.8,55.21,"114,850",1.2,28.82,36.04,48.83,67.7,88.83,"59,950","74,970","101,560","140,820","184,770",,
150,15-2020,mathematicians,broad,"2,730",4.8,50.33,"104,700",1.9,25.41,33.9,49.52,62.25,77.84,"52,860","70,520","103,010","129,480","161,900",,
152,15-2030,operations research analysts,broad,"106,050",2.2,41.59,"86,510",0.6,21.77,28.74,39.13,51.79,64.65,"45,270","59,780","81,390","107,720","134,470",,
154,15-2040,statisticians,broad,"36,540",2.2,42.78,"88,980",0.7,24.36,30.88,40.41,52.16,64.29,"50,660","64,230","84,060","108,500","133,720",,
156,15-2090,miscellaneous mathematical science occupations,detailed,"2,000",8.9,35.42,"73,670",3.1,13.73,17.39,27.83,44.46,79.47,"28,550","36,160","57,890","92,470","165,290",,
158,17-0000,architecture and engineering occupations,major,"2,516,780",0.6,41.44,"86,190",0.3,20.87,28.21,38.07,51.06,65.93,"43,420","58,690","79,180","106,200","137,130",,
159,17-1000,"architects, surveyors, and cartographers",minor,"177,030",1.1,37.97,"78,970",0.7,20.06,26.24,34.63,45.72,59.22,"41,730","54,580","72,020","95,090","123,180",,
160,17-1010,"architects, except naval",broad,"122,160",1.4,40.82,"84,910",0.9,21.95,28.21,36.82,48.34,62.79,"45,660","58,680","76,590","100,550","130,610",,
161,17-1011,"architects, except landscape and naval",detailed,"103,110",1.6,42.07,"87,500",1,22.83,29.11,37.72,49.36,64.71,"47,480","60,550","78,470","102,680","134,610",,
162,17-1012,landscape architects,detailed,"19,040",5,34.08,"70,880",1.3,19.46,24.41,31.62,41.3,52.15,"40,480","50,770","65,760","85,910","108,470",,
163,17-1020,"surveyors, cartographers, and photogrammetrists",broad,"54,870",1.7,31.6,"65,740",0.6,17.07,22.46,29.7,38.79,48.31,"35,510","46,720","61,770","80,680","100,470",,
164,17-1021,cartographers and photogrammetrists,detailed,"11,440",2.4,32.4,"67,390",0.7,19.42,24.18,30.76,39.08,48.4,"40,390","50,290","63,990","81,280","100,670",,
165,17-1022,surveyors,detailed,"43,430",2,31.4,"65,300",0.7,16.57,21.98,29.4,38.69,48.28,"34,470","45,720","61,140","80,480","100,420",,
166,17-2000,engineers,minor,"1,665,220",0.7,47.21,"98,190",0.3,27.06,34.14,44.34,57.36,72.49,"56,280","71,010","92,220","119,300","150,780",,
167,17-2010,aerospace engineers,broad,"65,760",3,55.43,"115,300",0.7,34.06,42.42,54.34,67.51,77.94,"70,840","88,240","113,030","140,420","162,110",,
169,17-2020,agricultural engineers,broad,"1,770",7.8,37.49,"77,970",1.2,22.73,29.74,35.95,43.95,55.23,"47,280","61,850","74,780","91,410","114,880",,
171,17-2030,biomedical engineers,broad,"20,100",4.3,44.7,"92,970",1,25.04,32.47,42.33,54.32,68.56,"52,070","67,540","88,040","112,990","142,610",,
173,17-2040,chemical engineers,broad,"33,500",2.8,54.05,"112,430",1.5,29.92,37.99,49.12,63,81.29,"62,230","79,030","102,160","131,030","169,080",,
175,17-2050,civil engineers,broad,"298,910",1.2,44.13,"91,790",0.4,26.04,31.86,40.75,52.85,66.4,"54,150","66,260","84,770","109,930","138,110",,
177,17-2060,computer hardware engineers,broad,"66,770",4.6,57.52,"119,650",1.4,31.87,42.26,55.35,70.68,85.05,"66,290","87,910","115,120","147,020","176,900",,
179,17-2070,electrical and electronics engineers,broad,"318,300",1.2,49.34,"102,620",0.4,29.65,36.69,47.1,59.78,74.61,"61,670","76,320","97,970","124,350","155,190",,
180,17-2071,electrical engineers,detailed,"183,370",1.3,47.87,"99,580",0.4,28.97,35.77,45.7,58.2,72.28,"60,250","74,400","95,060","121,060","150,340",,
181,17-2072,"electronics engineers, except computer",detailed,"134,930",2.4,51.33,"106,760",0.7,30.78,38.22,49.13,61.83,77.1,"64,030","79,490","102,180","128,610","160,360",,
182,17-2080,environmental engineers,broad,"52,640",1.8,43.83,"91,180",0.7,25.08,31.59,41.73,53.21,64.45,"52,160","65,710","86,800","110,680","134,060",,
184,17-2110,"industrial engineers, including health and safety",broad,"291,660",1,43.51,"90,500",0.4,26.4,32.89,41.39,51.76,63.25,"54,920","68,420","86,090","107,650","131,560",,
185,17-2111,"health and safety engineers, except mining safety engineers and inspectors",detailed,"26,130",2.1,44.32,"92,190",0.6,24.92,32.05,42.55,54.89,67.13,"51,820","66,660","88,510","114,180","139,630",,
186,17-2112,industrial engineers,detailed,"265,520",1.1,43.43,"90,340",0.4,26.55,32.96,41.29,51.43,62.95,"55,230","68,550","85,880","106,970","130,930",,
187,17-2120,marine engineers and naval architects,broad,"10,960",4.6,46.59,"96,910",1.5,30.76,35.3,43.74,55.66,69.98,"63,980","73,430","90,970","115,760","145,550",,
189,17-2130,materials engineers,broad,"27,200",3.9,47.41,"98,610",1.3,27.44,34.8,45.48,58.83,72.05,"57,080","72,390","94,610","122,360","149,860",,
191,17-2140,mechanical engineers,broad,"291,290",1.6,43.99,"91,500",0.4,26.59,32.82,41.29,52.2,64.37,"55,310","68,270","85,880","108,580","133,900",,
193,17-2150,"mining and geological engineers, including mining safety engineers",broad,"6,150",5.2,49.86,"103,710",2.4,26.3,34.23,45.31,61.12,77.08,"54,700","71,190","94,240","127,120","160,320",,
195,17-2160,nuclear engineers,broad,"16,700",5.2,52.36,"108,910",1.5,31.92,40.77,50.87,61.35,76.6,"66,400","84,800","105,810","127,610","159,330",,
197,17-2170,petroleum engineers,broad,"32,010",4.5,74.41,"154,780",2.4,35.77,48.03,63.6,91.63,#,"74,400","99,900","132,280","190,580",#,,
199,17-2190,miscellaneous engineers,broad,"131,500",1.4,47.74,"99,310",0.4,24.33,33.78,46.75,60.57,74.39,"50,620","70,270","97,250","125,990","154,720",,
200,17-2199,"engineers, all other",detailed,"131,500",1.4,47.74,"99,310",0.4,24.33,33.78,46.75,60.57,74.39,"50,620","70,270","97,250","125,990","154,720",,
201,17-3000,"drafters, engineering technicians, and mapping technicians",minor,"674,540",0.7,28.1,"58,450",0.3,16.16,20.5,26.83,34.18,42.27,"33,620","42,640","55,810","71,090","87,910",,
202,17-3010,drafters,broad,"195,510",1.1,27.44,"57,080",0.4,16.52,20.53,26.04,32.64,40.47,"34,350","42,710","54,170","67,880","84,180",,
203,17-3011,architectural and civil drafters,detailed,"95,960",1.7,26.5,"55,110",0.4,16.38,20.27,25.42,31.21,38.36,"34,070","42,160","52,870","64,910","79,790",,
204,17-3012,electrical and electronics drafters,detailed,"26,060",2.5,30.64,"63,720",1,17.37,22.07,28.7,37.44,47.1,"36,140","45,910","59,690","77,880","97,970",,
205,17-3013,mechanical drafters,detailed,"58,190",1.7,27.96,"58,150",0.8,16.78,20.87,26.5,33.38,41.98,"34,890","43,420","55,130","69,430","87,320",,
206,17-3019,"drafters, all other",detailed,"15,300",3.3,25.96,"53,990",1.3,15.58,19.06,24.18,30.41,38.91,"32,400","39,650","50,290","63,250","80,930",,
207,17-3020,"engineering technicians, except drafters",broad,"427,140",0.9,29.11,"60,550",0.4,16.6,21.28,27.97,35.42,43.71,"34,530","44,260","58,170","73,680","90,920",,
208,17-3021,aerospace engineering and operations technicians,detailed,"11,710",4.7,34.3,"71,340",3.8,20.7,25.92,32.33,39.29,49.5,"43,050","53,910","67,240","81,730","102,960",,
209,17-3022,civil engineering technicians,detailed,"71,430",1.4,25.77,"53,600",0.5,15.49,18.94,24.82,30.67,37.82,"32,220","39,390","51,620","63,800","78,660",,
210,17-3023,electrical and electronics engineering technicians,detailed,"128,320",2.1,30.91,"64,290",0.4,17.99,23.53,30.6,36.93,45.1,"37,420","48,940","63,660","76,820","93,810",,
211,17-3024,electro-mechanical technicians,detailed,"13,050",4.4,28.6,"59,490",1,17.57,21.63,27.28,34.44,42.29,"36,550","44,980","56,740","71,640","87,970",,
212,17-3025,environmental engineering technicians,detailed,"17,590",3.6,25.77,"53,610",1,15.08,18.23,24.15,30.85,39.11,"31,360","37,920","50,230","64,170","81,360",,
213,17-3026,industrial engineering technicians,detailed,"65,020",2.1,27.79,"57,810",0.9,16.39,20.53,26.1,33.27,42.05,"34,090","42,690","54,280","69,210","87,470",,
214,17-3027,mechanical engineering technicians,detailed,"43,390",1.9,27.97,"58,180",0.8,16.56,20.73,26.62,33.65,40.98,"34,440","43,120","55,360","70,000","85,230",,
215,17-3029,"engineering technicians, except drafters, all other",detailed,"76,630",1.4,31.03,"64,550",0.8,16.84,22.51,29.92,38.12,46.77,"35,030","46,810","62,230","79,290","97,270",,
216,17-3030,surveying and mapping technicians,broad,"51,890",2.6,22.28,"46,350",0.6,12.82,16.15,20.84,27.4,34.34,"26,670","33,590","43,340","56,990","71,440",,
218,19-0000,"life, physical, and social science occupations",major,"1,148,300",0.7,35.76,"74,370",0.4,16.38,22.17,31.01,44.64,60.11,"34,070","46,110","64,510","92,850","125,030",,
219,19-1000,life scientists,minor,"292,310",1.5,40.8,"84,860",0.9,20.3,25.96,35.43,49.08,67.08,"42,230","53,990","73,700","102,090","139,530",,
220,19-1010,agricultural and food scientists,broad,"31,750",4.6,33.88,"70,480",1.1,18.22,23.2,30.25,40.47,56.02,"37,890","48,260","62,910","84,170","116,520",,
221,19-1011,animal scientists,detailed,"2,550",6.5,33.1,"68,840",2.4,17.07,21.93,29.21,38.99,55.19,"35,510","45,620","60,760","81,110","114,800",,
222,19-1012,food scientists and technologists,detailed,"15,020",8.3,34.61,"71,990",2.1,18.39,23.75,30.6,42.35,57.75,"38,260","49,390","63,660","88,100","120,130",,
223,19-1013,soil and plant scientists,detailed,"14,180",4.7,33.26,"69,170",1.3,18.31,22.94,30.01,39.12,54.03,"38,090","47,710","62,430","81,360","112,390",,
224,19-1020,biological scientists,broad,"104,550",2,40.41,"84,060",1.4,20.46,26.45,36.04,48.37,65.55,"42,550","55,020","74,960","100,600","136,340",,
225,19-1021,biochemists and biophysicists,detailed,"27,380",4.6,50.68,"105,410",3.8,23.28,31.46,43.84,61.95,85.5,"48,410","65,440","91,190","128,860","177,840",,
226,19-1022,microbiologists,detailed,"21,870",6.5,37.69,"78,400",2.4,19.49,24.22,33.64,49.05,62.29,"40,540","50,370","69,960","102,030","129,560",,
227,19-1023,zoologists and wildlife biologists,detailed,"17,710",2.3,31.85,"66,250",0.6,19.05,23.84,29.95,37.28,47.93,"39,620","49,580","62,290","77,540","99,700",,
