,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
1264,51-9081,dental laboratory technicians,detailed,"35,630",2.8,20.19,"41,990",0.8,11.23,14.21,18.59,24.47,30.52,"23,350","29,570","38,670","50,890","63,480",,
1265,51-9082,medical appliance technicians,detailed,"13,640",4.5,19.45,"40,460",1.1,11.28,13.97,17.88,23.24,29.41,"23,460","29,060","37,190","48,350","61,170",,
1266,51-9083,ophthalmic laboratory technicians,detailed,"30,100",3.8,16.36,"34,030",1.1,10.49,12.35,14.88,18.81,24.21,"21,810","25,680","30,960","39,130","50,360",,
1267,51-9110,packaging and filling machine operators and tenders,broad,"392,910",1.4,15.38,"31,990",0.4,9.82,11.31,14.11,18.31,23.34,"20,430","23,530","29,350","38,090","48,550",,
1269,51-9120,painting workers,broad,"152,510",1.2,18.82,"39,150",0.5,11.34,13.69,17.31,22.32,28.52,"23,580","28,480","36,010","46,420","59,320",,
1270,51-9121,"coating, painting, and spraying machine setters, operators, and tenders",detailed,"86,270",1.5,17.15,"35,670",0.5,11.06,13.15,16.26,20.19,24.71,"23,000","27,340","33,820","41,990","51,400",,
1271,51-9122,"painters, transportation equipment",detailed,"52,880",2,22.3,"46,380",0.9,12.85,15.95,20.12,26.34,34.56,"26,730","33,170","41,850","54,780","71,880",,
1272,51-9123,"painting, coating, and decorating workers",detailed,"13,360",4.4,15.91,"33,090",0.9,10.16,11.94,14.82,18.64,23.41,"21,130","24,840","30,820","38,780","48,690",,
1273,51-9140,semiconductor processors,broad,"23,540",5.4,18.68,"38,860",1.3,12.46,14.34,17.59,21.97,27.16,"25,910","29,830","36,580","45,700","56,490",,
1275,51-9150,photographic process workers and processing machine operators,broad,"22,450",3.5,15.8,"32,870",1.8,9.86,11.01,13.21,17.72,23.97,"20,500","22,900","27,480","36,860","49,870",,
1277,51-9190,miscellaneous production workers,broad,"866,540",1.3,15.25,"31,720",0.4,9.54,11.01,13.8,18.14,23.66,"19,840","22,900","28,710","37,720","49,210",,
1278,51-9191,adhesive bonding machine operators and tenders,detailed,"15,860",4.3,16.65,"34,630",1.2,10.42,12.66,15.72,19.91,24.07,"21,670","26,330","32,710","41,400","50,070",,
1279,51-9192,"cleaning, washing, and metal pickling equipment operators and tenders",detailed,"17,410",4.6,15.51,"32,270",1.3,10.23,11.63,14.4,18.15,22.99,"21,290","24,190","29,950","37,740","47,830",,
1280,51-9193,cooling and freezing equipment operators and tenders,detailed,"8,630",4.4,16.15,"33,590",1.5,10.18,12.02,14.84,19.25,24.35,"21,170","25,000","30,860","40,040","50,640",,
1281,51-9194,etchers and engravers,detailed,"8,620",5.2,16.28,"33,860",2.1,10.05,11.95,14.85,18.56,23.51,"20,910","24,870","30,890","38,600","48,910",,
1282,51-9195,"molders, shapers, and casters, except metal and plastic",detailed,"41,320",3.2,16.25,"33,810",0.7,10.51,12.42,15.36,18.93,23.62,"21,860","25,830","31,950","39,380","49,140",,
1283,51-9196,"paper goods machine setters, operators, and tenders",detailed,"94,620",2,19.12,"39,770",1.1,11.04,13.81,18.22,23.5,29.23,"22,970","28,730","37,890","48,880","60,790",,
1284,51-9197,tire builders,detailed,"21,910",8.2,20.18,"41,980",2.5,12.31,14.62,19.34,26.21,29.54,"25,610","30,400","40,230","54,520","61,440",,
1285,51-9198,helpers--production workers,detailed,"402,140",2,13.5,"28,070",0.4,9.18,10.49,12.54,15.73,19.08,"19,090","21,830","26,070","32,730","39,680",,
1286,51-9199,"production workers, all other",detailed,"256,050",2.9,15.82,"32,910",0.9,9.53,10.95,13.89,18.91,25.25,"19,820","22,780","28,890","39,340","52,510",,
1287,53-0000,transportation and material moving occupations,major,"9,978,390",0.3,17.82,"37,070",0.4,9.55,11.36,15.19,21.31,29.05,"19,860","23,630","31,600","44,310","60,420",,
1288,53-1000,supervisors of transportation and material moving workers,minor,"403,620",0.6,27.08,"56,330",0.2,15.48,19.18,25.82,33.16,40.73,"32,200","39,900","53,700","68,970","84,730",,
1289,53-1010,aircraft cargo handling supervisors,broad,"8,270",5.5,25.47,"52,970",2.6,15.26,17.92,23.15,30.74,39.32,"31,730","37,280","48,150","63,940","81,790",,
1291,53-1040,"first-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",broad,"395,350",0.6,27.11,"56,400",0.2,15.49,19.22,25.87,33.21,40.76,"32,210","39,990","53,810","69,070","84,780",,
1293,53-2000,air transportation workers,minor,"273,950",3.7,*,"96,890",2.3,*,*,*,*,*,"33,570","48,930","72,310","122,750","189,000",TRUE,
1294,53-2010,aircraft pilots and flight engineers,broad,"122,570",3.5,*,"138,690",3.5,*,*,*,*,*,"54,820","76,590","111,930","175,940",#,TRUE,
1295,53-2011,"airline pilots, copilots, and flight engineers",detailed,"84,070",4.9,*,"161,280",3.5,*,*,*,*,*,"68,230","92,500","137,330",#,#,TRUE,
1296,53-2012,commercial pilots,detailed,"38,490",3.1,*,"89,350",1.3,*,*,*,*,*,"43,570","58,910","78,740","106,990","152,180",TRUE,
1297,53-2020,air traffic controllers and airfield operations specialists,broad,"32,380",1.9,48.68,"101,240",1.4,18.74,29.89,46.62,68.05,81.14,"38,990","62,180","96,980","141,540","168,770",,
1298,53-2021,air traffic controllers,detailed,"22,790",1.7,57.82,"120,260",0.7,32.42,41.64,59.87,72.89,84.52,"67,440","86,610","124,540","151,620","175,800",,
1299,53-2022,airfield operations specialists,detailed,"9,590",4.9,26.95,"56,060",2.1,13.18,17.95,25.17,32.39,44.76,"27,410","37,340","52,360","67,370","93,090",,
1300,53-2030,flight attendants,broad,"119,000",5.2,*,"52,660",2.3,*,*,*,*,*,"26,860","41,040","50,500","63,090","79,520",TRUE,
1302,53-3000,motor vehicle operators,minor,"4,006,890",0.4,18.37,"38,210",0.2,9.61,12.53,17.27,22.94,29.23,"19,990","26,060","35,910","47,710","60,790",,
1303,53-3010,"ambulance drivers and attendants, except emergency medical technicians",broad,"15,310",5.6,12.85,"26,740",1.7,9.04,10.14,11.66,14.36,18.82,"18,810","21,090","24,260","29,860","39,140",,
1305,53-3020,bus drivers,broad,"683,480",0.9,16.83,"35,000",1.1,9.36,12.26,15.87,20.35,25.41,"19,470","25,490","33,010","42,330","52,860",,
1306,53-3021,"bus drivers, transit and intercity",detailed,"176,140",1.8,20.81,"43,290",2.1,11.94,14.85,19.61,25.76,32.62,"24,830","30,890","40,780","53,570","67,860",,
1307,53-3022,"bus drivers, school or special client",detailed,"507,340",1,15.45,"32,130",0.5,9.04,11.43,14.93,18.73,23.01,"18,790","23,780","31,060","38,950","47,860",,
1308,53-3030,driver/sales workers and truck drivers,broad,"3,052,680",0.5,19.13,"39,790",0.2,9.75,13.21,18.08,23.81,29.99,"20,270","27,470","37,610","49,520","62,380",,
1309,53-3031,driver/sales workers,detailed,"426,870",1.8,13.99,"29,090",0.7,8.49,9.27,11.56,17.3,23.43,"17,660","19,290","24,040","35,980","48,730",,
1310,53-3032,heavy and tractor-trailer truck drivers,detailed,"1,748,140",0.6,21.39,"44,500",0.2,13.22,16.45,20.42,25.5,30.77,"27,510","34,210","42,480","53,030","64,000",,
1311,53-3033,light truck or delivery services drivers,detailed,"877,670",0.7,17.12,"35,610",0.3,9.43,11.32,15.12,20.85,29.39,"19,610","23,550","31,450","43,370","61,120",,
1312,53-3040,taxi drivers and chauffeurs,broad,"198,470",1.5,13.21,"27,480",0.7,9.02,10.16,11.96,15.01,18.93,"18,750","21,130","24,880","31,210","39,380",,
1314,53-3090,miscellaneous motor vehicle operators,broad,"56,950",3.2,15.72,"32,690",1.3,8.81,9.83,12.81,20.66,25.99,"18,330","20,450","26,640","42,960","54,050",,
1315,53-3099,"motor vehicle operators, all other",detailed,"56,950",3.2,15.72,"32,690",1.3,8.81,9.83,12.81,20.66,25.99,"18,330","20,450","26,640","42,960","54,050",,
1316,53-4000,rail transportation workers,minor,"117,940",5.7,30.24,"62,900",1,19.98,24.44,29.03,36.42,43.76,"41,550","50,840","60,390","75,750","91,020",,
1317,53-4010,locomotive engineers and operators,broad,"42,500",10.8,30.72,"63,890",1.2,20.34,24.8,28.75,37.28,45.54,"42,310","51,590","59,810","77,550","94,730",,
1318,53-4011,locomotive engineers,detailed,"35,680",9.7,31.72,"65,980",1.2,21.76,25.51,29.32,38.42,45.93,"45,260","53,060","60,990","79,900","95,540",,
1319,53-4012,locomotive firers,detailed,670,12.6,29.91,"62,220",4.6,19.25,26.19,29.02,33.87,44.42,"40,040","54,480","60,360","70,450","92,400",,
1320,53-4013,"rail yard engineers, dinkey operators, and hostlers",detailed,"6,140",23.4,24.97,"51,930",3.4,12.65,18.28,24.11,29.4,41.28,"26,320","38,020","50,150","61,150","85,870",,
1321,53-4020,"railroad brake, signal, and switch operators",broad,"14,190",7.7,28.13,"58,500",2.1,16.49,21.54,27.53,35.15,40.34,"34,310","44,800","57,260","73,110","83,900",,
1323,53-4030,railroad conductors and yardmasters,broad,"44,490",5.4,30.47,"63,370",1.5,20.65,24.7,28.99,36.56,44.05,"42,950","51,370","60,300","76,050","91,630",,
1325,53-4040,subway and streetcar operators,broad,"12,070",3.4,30.75,"63,950",3.4,21.38,26.87,31.93,35.9,38.45,"44,470","55,890","66,420","74,680","79,970",,
1327,53-4090,miscellaneous rail transportation workers,broad,"4,690",9.4,28.82,"59,950",4.9,15.01,20.61,28.21,37.36,44.58,"31,220","42,880","58,690","77,710","92,720",,
1328,53-4099,"rail transportation workers, all other",detailed,"4,690",9.4,28.82,"59,950",4.9,15.01,20.61,28.21,37.36,44.58,"31,220","42,880","58,690","77,710","92,720",,
1329,53-5000,water transportation workers,minor,"77,120",7,31.59,"65,720",1.9,12.99,18.13,26.73,38.77,57.04,"27,020","37,710","55,590","80,630","118,630",,
1330,53-5010,sailors and marine oilers,broad,"30,940",6.8,22.38,"46,560",3.4,11.47,14.23,19.58,26.98,35.52,"23,850","29,600","40,730","56,110","73,870",,
1332,53-5020,ship and boat captains and operators,broad,"38,290",6.5,37.82,"78,670",2.1,16.34,22.82,33.14,47.49,65.33,"33,980","47,460","68,930","98,780","135,880",,
1333,53-5021,"captains, mates, and pilots of water vessels",detailed,"35,780",6.9,38.93,"80,970",2.3,17.13,23.72,34.1,48.8,66.65,"35,640","49,340","70,920","101,510","138,620",,
1334,53-5022,motorboat operators,detailed,"2,510",8.5,22.05,"45,870",4.8,10.03,13.83,21.44,30.06,35.42,"20,860","28,770","44,600","62,520","73,680",,
1335,53-5030,ship engineers,broad,"7,890",13.4,37.48,"77,970",2.5,19.82,25.5,35.15,46.61,60.74,"41,230","53,050","73,110","96,950","126,340",,
1337,53-6000,other transportation workers,minor,"367,320",1.3,15.11,"31,440",1.3,9.02,10,11.77,16.08,26.83,"18,750","20,810","24,480","33,450","55,810",,
1338,53-6010,bridge and lock tenders,broad,"3,240",3.6,22.73,"47,280",1.1,12.14,17.83,24.15,27.45,30.01,"25,250","37,090","50,240","57,090","62,420",,
1340,53-6020,parking lot attendants,broad,"145,400",2.2,11.7,"24,330",0.6,8.81,9.69,10.97,12.63,15.59,"18,320","20,140","22,810","26,270","32,420",,
1342,53-6030,automotive and watercraft service attendants,broad,"118,850",1.9,12.07,"25,100",0.5,8.95,9.76,11.24,13.46,16.9,"18,620","20,300","23,390","28,000","35,160",,
1344,53-6040,traffic technicians,broad,"6,980",3.6,23.7,"49,290",1.9,13.41,16.98,21.96,29.78,36.75,"27,880","35,330","45,670","61,940","76,430",,
1346,53-6050,transportation inspectors,broad,"30,030",4.3,35.44,"73,720",1.6,14.5,24.43,34.68,46.2,57.86,"30,160","50,820","72,140","96,090","120,340",,
1348,53-6060,"transportation attendants, except flight attendants",broad,"24,360",8.5,15.29,"31,800",2.4,9.05,10.24,13.38,18.07,25.47,"18,820","21,300","27,830","37,590","52,980",,
1350,53-6090,miscellaneous transportation workers,broad,"38,460",3.8,19.25,"40,050",2,10.14,12.6,17.67,26.51,29.92,"21,100","26,220","36,760","55,140","62,240",,
1351,53-6099,"transportation workers, all other",detailed,"38,460",3.8,19.25,"40,050",2,10.14,12.6,17.67,26.51,29.92,"21,100","26,220","36,760","55,140","62,240",,
